time	peer	dir	hex	kind	name	detail
2026-09-18T01:05:39.830	processor:33714	open				
2026-09-18T01:05:45.592	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:05:45.592	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:48.633	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:05:48.634	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:48.650	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:05:48.650	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:48.663	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:05:48.663	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:48.676	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:05:48.678	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:48.691	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:05:48.691	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:48.703	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:05:48.704	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:48.716	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:05:48.716	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:48.730	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:05:48.730	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:05:48.742	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:48.742	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:48.755	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:48.755	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:48.766	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:05:48.767	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:05:51.750	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:05:51.751	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:51.768	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:05:51.768	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:51.778	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:05:51.779	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:51.788	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:05:51.789	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:51.799	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:05:51.799	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:51.812	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:05:51.813	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:51.823	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:05:51.825	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:51.834	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:05:51.834	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:05:51.843	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:51.845	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:51.854	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:51.855	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:51.863	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:05:51.865	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:05:54.841	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:05:54.841	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:54.856	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:05:54.857	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:54.868	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:05:54.868	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:54.882	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:05:54.882	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:54.893	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:05:54.893	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:54.903	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:05:54.903	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:54.930	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:05:54.930	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:54.940	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:05:54.940	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:05:54.949	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:54.949	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:54.959	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:54.959	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:54.970	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:05:54.970	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:05:57.952	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:05:57.952	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:57.968	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:05:57.968	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:57.978	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:05:57.978	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:57.990	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:05:57.990	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:05:58.000	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:05:58.000	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:05:58.009	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:05:58.009	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:58.020	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:05:58.021	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:05:58.030	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:05:58.030	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:05:58.040	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:58.041	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:58.050	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:05:58.051	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:05:58.060	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:05:58.061	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:01.047	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:01.047	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:01.062	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:01.062	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:01.072	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:01.072	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:01.082	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:01.083	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:01.093	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:01.093	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:01.104	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:01.104	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:01.115	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:01.115	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:01.125	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:01.125	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:01.135	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:01.136	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:01.145	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:01.146	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:01.156	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:01.157	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:04.131	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:04.131	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:04.147	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:04.147	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:04.157	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:04.158	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:04.169	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:04.169	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:04.185	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:04.186	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:04.214	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:04.214	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:04.240	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:04.240	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:04.266	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:04.266	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:04.285	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:04.285	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:04.300	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:04.300	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:04.311	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:04.311	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:07.268	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:07.269	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:07.281	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:07.281	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:07.292	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:07.292	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:07.301	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:07.301	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:07.311	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:07.312	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:07.321	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:07.321	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:07.331	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:07.332	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:07.341	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:07.341	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:07.353	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:07.353	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:07.364	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:07.364	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:07.373	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:07.373	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:10.443	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:10.443	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:10.502	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:10.502	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:10.546	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:10.546	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:10.589	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:10.589	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:10.638	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:10.638	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:10.696	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:10.696	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:10.744	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:10.744	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:10.881	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:10.881	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:10.962	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:10.962	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:11.002	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:11.002	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:11.024	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:11.025	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:13.489	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:13.489	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:13.507	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:13.507	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:13.517	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:13.518	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:13.530	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:13.530	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:13.546	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:13.546	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:13.556	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:13.557	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:13.565	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:13.566	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:13.576	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:13.576	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:13.586	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:13.587	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:13.597	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:13.597	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:13.607	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:13.607	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:16.909	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:16.910	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:16.961	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:16.961	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:16.998	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:16.998	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:17.012	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:17.012	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:17.022	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:17.023	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:17.034	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:17.034	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:17.045	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:17.045	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:17.055	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:17.055	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:17.065	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:17.065	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:17.074	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:17.075	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:17.084	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:17.084	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:20.031	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:20.031	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:20.067	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:20.067	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:20.083	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:20.083	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:20.109	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:20.109	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:20.121	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:20.121	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:20.131	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:20.131	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:20.142	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:20.142	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:20.152	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:20.153	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:20.161	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:20.161	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:20.172	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:20.172	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:20.181	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:20.181	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:23.146	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:23.146	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:23.162	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:23.162	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:23.171	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:23.172	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:23.181	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:23.181	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:23.191	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:23.191	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:23.201	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:23.201	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:23.212	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:23.213	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:23.221	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:23.223	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:23.232	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:23.232	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:23.243	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:23.244	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:23.253	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:23.253	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:26.241	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:26.241	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:26.258	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:26.258	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:26.262	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:26.262	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:26.279	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:26.279	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:26.284	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:26.284	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:26.296	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:26.296	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:26.309	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:26.309	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:26.318	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:26.320	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:26.332	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:26.332	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:26.343	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:26.343	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:26.347	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:26.347	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:29.327	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:29.327	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:29.342	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:29.342	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:29.352	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:06:29.352	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:29.365	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:06:29.365	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:06:29.376	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:06:29.376	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:29.386	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:06:29.386	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:29.395	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:06:29.396	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:29.408	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:06:29.408	processor:33714	tx	90 50 00 00 00 00 FF	reply		
2026-09-18T01:06:29.418	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:29.418	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:29.428	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:06:29.429	processor:33714	tx	90 50 00 00 00 00 00 00 00 00 FF	reply		
2026-09-18T01:06:29.437	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:06:29.437	processor:33714	tx	90 50 01 01 FF	reply		
2026-09-18T01:06:32.416	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:06:32.417	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:06:32.432	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:06:32.433	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:06:32.444	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
